Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778685708,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778685709,2,,Aggregated,0.000000,0.000000,18,22,24,24,36,39,39,39,39,39,39,20,8,16,18.036604999997508,7.006700000147248,39.12110000010216,22114.3
1778685710,4,,Aggregated,0.000000,0.000000,11,12,15,18,24,36,39,39,39,39,39,60,30,11,13.35258666667111,6.8123999999443186,39.19739999992089,17830.766666666666
1778685711,6,,Aggregated,0.000000,0.000000,12,13,15,18,28,35,39,45,45,45,45,90,60,12,14.140855555559837,4.240300000219577,45.30190000014045,11887.177777777777
1778685712,8,,Aggregated,20.000000,9.500000,12,15,16,17,26,35,39,42,45,45,45,172,130,12,13.960622093032873,4.14760000012393,45.30190000014045,8759.889534883721
1778685713,10,,Aggregated,30.000000,20.000000,12,16,17,18,28,33,38,39,45,45,45,233,185,12,14.562045922756598,4.14760000012393,45.30190000014045,7392.3304721030045
1778685714,12,,Aggregated,36.250000,26.000000,13,16,17,18,26,33,38,42,45,45,45,360,306,13,14.447838055560977,4.14760000012393,45.30190000014045,5384.316666666667
1778685715,14,,Aggregated,42.000000,33.600000,13,16,17,18,25,33,36,42,45,45,45,461,393,13,14.645205206079975,4.14760000012393,45.30190000014045,5231.913232104122
1778685716,16,,Aggregated,53.166667,44.166667,14,17,18,20,25,30,36,39,45,45,45,603,524,14,14.935155887229381,4.105900000013207,45.30190000014045,4622.114427860696
1778685717,20,,Aggregated,58.142857,49.428571,13,16,17,18,24,29,35,38,45,45,45,736,648,13,14.302090353256942,4.105900000013207,45.30190000014045,4230.535326086957
1778685718,22,,Aggregated,70.875000,61.000000,13,17,19,21,25,29,35,39,45,45,45,871,779,13,15.069636739377502,4.105900000013207,45.30190000014045,3692.476463834673
1778685719,24,,Aggregated,73.333333,64.333333,15,17,20,22,25,29,36,41,49,49,49,1061,969,15,15.680174458053575,4.105900000013207,49.15409999966869,3031.2412818096136
1778685720,26,,Aggregated,82.500000,73.300000,15,18,20,21,26,29,35,39,49,49,49,1242,1148,15,15.988773832527261,4.105900000013207,49.15409999966869,2673.9605475040257
1778685721,28,,Aggregated,93.700000,85.700000,16,19,21,22,26,30,36,39,49,49,49,1443,1342,16,16.57984026333936,4.105900000013207,49.15409999966869,2477.069993069993
1778685722,30,,Aggregated,111.900000,104.600000,16,20,21,23,26,30,36,39,49,49,49,1663,1551,16,17.06585832832519,4.105900000013207,49.15409999966869,2404.226698737222
1778685723,32,,Aggregated,124.200000,117.100000,17,21,23,25,31,36,39,43,54,60,60,1884,1759,17,18.557686464970555,4.105900000013207,59.65430000014749,2386.11889596603
1778685724,34,,Aggregated,140.600000,133.500000,19,22,25,27,32,35,39,42,49,60,60,2124,1999,19,19.4869101694949,4.105900000013207,59.65430000014749,2116.500941619586
1778685725,36,,Aggregated,155.600000,147.300000,20,23,26,28,33,37,41,43,49,60,60,2335,2210,20,20.29356788008888,4.105900000013207,59.65430000014749,1925.2453961456104
1778685726,38,,Aggregated,166.400000,159.300000,20,25,28,30,36,40,43,44,49,60,60,2574,2447,20,21.6378918803452,4.105900000013207,59.65430000014749,1779.656954156954
1778685727,40,,Aggregated,181.400000,175.000000,21,26,29,32,37,42,45,46,54,60,60,2801,2666,21,22.49092234916452,4.105900000013207,59.65430000014749,1720.434844698322
1778685728,42,,Aggregated,186.100000,181.300000,22,28,32,35,44,54,64,67,88,120,120,3039,2881,22,25.272013688716115,4.105900000013207,115.18720000003668,1861.113195129977
1778685729,44,,Aggregated,200.800000,195.400000,24,30,36,41,59,68,80,93,110,120,120,3277,3073,24,28.800712053710203,4.105900000013207,115.18720000003668,2253.8425389075373
1778685730,46,,Aggregated,206.100000,200.200000,24,31,37,43,61,71,83,98,110,120,120,3500,3269,24,29.709251714287912,4.105900000013207,115.18720000003668,2366.8151428571427
1778685731,48,,Aggregated,216.500000,209.200000,25,33,42,46,67,79,90,100,130,140,140,3726,3450,25,32.19816975308925,4.105900000013207,138.92959999975574,2632.975577026302
1778685732,50,,Aggregated,220.200000,206.700000,27,37,46,58,80,100,130,140,180,200,200,3956,3578,27,37.301447598585995,4.105900000013207,204.42819999971107,3405.8966127401413
