Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778685326,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778685327,2,,Aggregated,0.000000,0.000000,16,18,20,20,22,25,27,27,27,27,27,25,0,16,15.181347999969148,6.374199999754637,26.97729999999865,34806.56
1778685328,4,,Aggregated,0.000000,0.000000,17,19,21,23,29,52,52,54,54,54,54,60,0,16,18.485074999982015,6.374199999754637,54.49330000010377,34332.8
1778685329,6,,Aggregated,23.000000,0.000000,13,15,17,18,22,27,52,52,54,54,54,124,0,13,14.989967741925167,4.685500000050524,54.49330000010377,34237.82258064516
1778685330,8,,Aggregated,30.000000,0.000000,13,15,17,18,23,27,38,52,54,54,54,200,0,13,15.087556999997105,4.685500000050524,54.49330000010377,34332.8
1778685331,10,,Aggregated,40.000000,0.000000,14,16,18,18,22,26,35,52,54,54,54,278,0,13,15.140788129486236,4.685500000050524,54.49330000010377,34254.07194244604
1778685332,12,,Aggregated,49.250000,0.000000,14,16,18,19,23,28,35,39,54,54,54,376,0,14,15.575020478716523,4.685500000050524,54.49330000010377,34367.37234042553
1778685333,14,,Aggregated,54.400000,0.000000,14,17,18,20,25,29,37,40,54,54,54,525,0,14,15.725693333333766,3.558100000191189,54.49330000010377,34355.36
1778685334,16,,Aggregated,60.833333,0.000000,14,17,20,22,31,39,52,58,66,66,66,642,0,14,17.39376713394917,3.558100000191189,65.74099999988903,34442.297507788164
1778685335,18,,Aggregated,73.428571,0.000000,15,19,22,25,35,43,58,60,77,77,77,773,0,15,18.869496248376986,3.558100000191189,77.072600000065,34354.32729624838
1778685336,20,,Aggregated,79.125000,0.000000,16,20,25,27,39,49,60,65,86,86,86,896,0,16,20.434170982139527,3.558100000191189,86.07750000010128,34347.23772321428
1778685337,24,,Aggregated,84.777778,0.000000,18,25,31,35,46,55,64,72,86,89,89,1068,0,18,23.46974887640276,3.558100000191189,89.30329999975584,34313.45131086143
1778685338,26,,Aggregated,88.500000,0.000000,18,24,29,33,44,54,64,71,86,89,89,1242,0,18,23.020289694042347,3.558100000191189,89.30329999975584,34322.95893719807
1778685339,28,,Aggregated,103.000000,0.000000,17,23,27,31,42,53,63,70,86,89,89,1423,0,17,21.938391637386157,3.558100000191189,89.30329999975584,34293.70906535489
1778685340,30,,Aggregated,115.600000,0.000000,18,24,28,32,42,53,64,72,89,130,130,1641,0,18,22.57404515539313,3.558100000191189,128.9086000001589,34329.603290676416
1778685341,32,,Aggregated,128.500000,0.000000,18,23,27,30,41,51,63,70,89,130,130,1826,0,18,21.974470043813188,3.558100000191189,128.9086000001589,34339.91894852136
1778685342,34,,Aggregated,142.000000,0.000000,18,23,27,30,40,50,62,70,86,130,130,2037,0,18,21.875468090326567,3.558100000191189,128.9086000001589,34330.463426607756
1778685343,36,,Aggregated,153.300000,0.000000,18,24,28,32,43,54,66,76,120,140,140,2288,0,18,22.870285533215213,3.558100000191189,140.17250000006243,34298.95541958042
1778685344,38,,Aggregated,164.700000,0.000000,18,23,27,30,41,53,65,74,120,140,140,2535,0,18,22.104444694278513,3.558100000191189,140.17250000006243,34363.70848126233
1778685345,40,,Aggregated,175.400000,0.000000,18,23,27,31,41,53,66,76,120,140,140,2815,0,18,22.4007141740643,3.558100000191189,140.17250000006243,34319.993605683834
1778685346,42,,Aggregated,186.400000,0.000000,18,23,27,31,41,53,65,74,120,140,140,3076,0,18,22.5664518205424,3.558100000191189,140.17250000006243,34317.87938881665
1778685347,44,,Aggregated,202.400000,0.000000,17,23,27,30,40,52,64,74,120,140,140,3403,0,17,21.700225330587923,2.369799999996758,140.17250000006243,34334.74199235968
1778685348,46,,Aggregated,214.500000,0.000000,17,22,26,29,39,50,64,73,120,140,140,3697,0,17,21.10181620232341,2.369799999996758,140.17250000006243,34343.03597511496
1778685349,48,,Aggregated,228.300000,0.000000,18,23,28,31,44,60,89,130,290,380,380,3905,0,18,24.274258617154764,2.369799999996758,378.46689999969385,34341.68348271447
1778685350,50,,Aggregated,245.100000,0.000000,18,24,30,35,55,89,160,230,420,650,650,4135,0,18,30.001447279321138,2.369799999996758,649.9970000004396,34308.59322853688
1778685351,52,,Aggregated,246.300000,0.000000,19,26,33,39,71,120,210,270,450,650,650,4390,0,19,34.23171118450809,2.369799999996758,649.9970000004396,34329.87107061504
1778685352,54,,Aggregated,246.800000,0.000000,19,26,32,38,68,110,200,270,450,650,650,4701,0,19,33.368812444159005,2.3637999997845327,649.9970000004396,34334.87194213997
1778685353,56,,Aggregated,251.000000,0.000000,19,27,35,41,75,120,200,270,430,650,650,5025,0,19,34.83506505472465,2.3637999997845327,649.9970000004396,34309.334527363186
1778685354,58,,Aggregated,262.100000,0.000000,20,28,38,46,86,130,220,280,450,650,650,5260,0,20,37.66026826995985,2.3637999997845327,649.9970000004396,34333.73079847909
1778685355,60,,Aggregated,270.800000,0.000000,21,30,41,52,97,150,230,290,470,650,650,5514,0,21,40.81269664490179,2.3637999997845327,649.9970000004396,34351.050598476606
1778685356,62,,Aggregated,271.300000,0.000000,22,32,45,60,110,170,260,340,650,830,830,5778,0,22,46.00345186915636,2.3637999997845327,825.8878999999979,34351.89044652129
1778685357,64,,Aggregated,268.100000,0.000000,23,35,51,67,120,180,270,350,630,830,830,6117,0,23,48.61292558443399,2.3637999997845327,825.8878999999979,34337.37403956187
1778685358,66,,Aggregated,268.700000,0.000000,22,34,50,65,120,180,270,340,630,830,830,6432,0,22,47.515123523007524,2.3637999997845327,825.8878999999979,34323.867070895525
1778685359,68,,Aggregated,268.900000,0.000000,23,37,54,73,130,190,280,360,650,830,830,6667,0,23,50.38726631168249,2.3637999997845327,825.8878999999979,34335.99580020999
1778685360,70,,Aggregated,271.100000,0.000000,24,38,59,80,140,210,320,400,790,1300,1300,6894,0,24,55.59093067884886,2.3637999997845327,1268.6490999999478,34344.238613286914
1778685361,72,,Aggregated,274.700000,0.000000,25,41,64,86,150,230,350,440,790,1300,1300,7200,0,25,59.95095594444249,2.3637999997845327,1268.6490999999478,34360.84166666667
1778685362,74,,Aggregated,276.100000,0.000000,24,41,63,85,150,230,350,440,790,1300,1300,7509,0,24,58.989094273536125,2.3637999997845327,1268.6490999999478,34336.791982953786
1778685363,76,,Aggregated,277.300000,0.000000,25,43,68,90,160,240,360,450,830,1300,1300,7713,0,25,62.06303023466662,2.3637999997845327,1268.6490999999478,34331.616750939975
1778685364,78,,Aggregated,283.600000,0.000000,26,46,76,100,180,270,390,500,920,1300,1300,7962,0,26,67.96103599597892,2.3637999997845327,1268.6490999999478,34357.71225822657
1778685365,80,,Aggregated,268.200000,0.000000,27,49,83,110,190,300,410,560,1000,2200,2200,8238,0,27,73.46898508132787,2.3637999997845327,2156.504699999914,34341.23294488954
1778685366,82,,Aggregated,269.000000,0.000000,27,51,88,120,200,300,430,570,1100,2200,2200,8468,0,27,76.08734315068246,2.3637999997845327,2156.504699999914,34331.382144544164
1778685367,84,,Aggregated,270.300000,0.000000,28,55,96,130,210,320,460,590,1100,2200,2200,8788,0,28,79.82798554847254,2.3637999997845327,2156.504699999914,34339.968707328175
1778685368,86,,Aggregated,267.600000,0.000000,29,60,100,130,210,320,450,590,1000,2200,2200,9176,0,29,81.22633953792165,2.3637999997845327,2156.504699999914,34329.42818221447
1778685369,88,,Aggregated,263.700000,0.000000,30,63,100,130,210,320,450,580,1000,2200,2200,9506,0,30,81.52225232484395,2.3637999997845327,2156.504699999914,34333.52167052388
1778685370,90,,Aggregated,269.700000,0.000000,31,66,110,140,220,340,460,600,1000,2200,2200,9713,0,31,84.67796540718223,2.3637999997845327,2156.504699999914,34332.051374446615
1778685371,92,,Aggregated,282.900000,0.000000,31,70,110,150,240,360,490,650,1100,2200,2200,9954,0,31,89.71616725938937,2.3637999997845327,2156.504699999914,34343.047418123366
1778685372,94,,Aggregated,280.500000,0.000000,33,76,120,150,250,370,510,680,1300,1900,2200,10285,0,33,94.63347373845043,2.3637999997845327,2156.504699999914,34320.42100145843
1778685373,96,,Aggregated,279.700000,0.000000,33,79,120,160,250,370,500,670,1300,1900,2200,10563,0,33,95.74368662311501,2.3637999997845327,2156.504699999914,34340.352646028594
1778685374,98,,Aggregated,271.200000,0.000000,34,83,130,160,260,380,510,680,1300,1900,2200,10831,0,34,98.155449736863,2.3637999997845327,2156.504699999914,34341.98338103591
1778685375,100,,Aggregated,284.100000,0.000000,35,86,140,170,270,400,570,720,1300,1900,2200,11077,0,35,102.56501658390917,2.3637999997845327,2156.504699999914,34319.94077818904
