Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778685514,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778685515,2,,Aggregated,0.000000,0.000000,750,750,750,750,750,750,750,750,750,750,750,2,0,741.0211999999774,747.1907000001465,741.0211999999774,753.3602000003157,42851.0
1778685516,4,,Aggregated,0.000000,0.000000,550,580,630,740,750,750,750,750,750,750,750,9,0,550,557.753299999907,411.7418999999245,753.3602000003157,34563.333333333336
1778685517,8,,Aggregated,0.000000,0.000000,450,480,580,630,740,750,750,750,750,750,750,22,0,410,427.35576818181056,62.4934000002213,753.9510999999948,37279.545454545456
1778685518,10,,Aggregated,1.500000,0.000000,460,630,740,740,770,920,970,970,970,970,970,26,0,450,489.4780730769001,62.4934000002213,966.4631000000554,35987.38461538462
1778685519,12,,Aggregated,5.000000,0.000000,450,580,650,690,750,920,970,970,970,970,970,38,0,450,465.2340131578967,54.004999999961,966.4631000000554,36784.94736842105
1778685520,14,,Aggregated,5.500000,0.000000,430,500,630,630,740,770,920,970,970,970,970,51,1,430,444.7585882352916,54.004999999961,966.4631000000554,37661.666666666664
1778685521,16,,Aggregated,5.800000,0.000000,430,500,630,650,750,790,920,970,970,970,970,60,1,410,443.5900366666677,54.004999999961,966.4631000000554,38509.73333333333
1778685522,18,,Aggregated,7.166667,0.000000,410,480,630,650,750,770,920,970,970,970,970,69,2,410,442.18005507248205,54.004999999961,966.4631000000554,39337.07246376811
1778685523,20,,Aggregated,7.571429,0.142857,410,480,580,630,740,770,920,970,970,970,970,81,2,410,436.1788777777977,54.004999999961,966.4631000000554,39010.67901234568
1778685524,22,,Aggregated,7.625000,0.125000,410,480,580,630,740,770,920,970,970,970,970,91,3,410,429.6966736263899,54.004999999961,966.4631000000554,39858.01098901099
1778685525,24,,Aggregated,8.111111,0.222222,410,480,580,630,740,790,970,1200,1200,1200,1200,100,3,410,431.28593400000665,51.778099999864935,1243.6534999997093,39469.01
1778685526,26,,Aggregated,8.200000,0.200000,400,460,560,630,720,770,920,970,1200,1200,1200,114,4,400,416.10841403507936,51.778099999864935,1243.6534999997093,40240.94736842105
1778685527,28,,Aggregated,9.300000,0.300000,400,460,550,630,700,760,920,970,1200,1200,1200,123,4,400,411.4284121951084,50.369299999601935,1243.6534999997093,39896.65853658537
1778685528,30,,Aggregated,9.800000,0.300000,400,460,550,630,720,770,970,1200,12000,12000,12000,133,4,400,494.0437533834441,50.369299999601935,11767.75839999982,39813.21804511278
1778685529,32,,Aggregated,10.000000,0.400000,410,460,570,630,740,790,12000,12000,12000,12000,12000,147,4,410,649.6221360544039,50.369299999601935,12144.104099999822,38801.90476190476
1778685530,34,,Aggregated,10.200000,0.400000,410,460,570,630,740,790,1200,12000,12000,12000,12000,157,4,410,632.554729299346,50.369299999601935,12144.104099999822,38669.87261146497
1778685531,36,,Aggregated,10.500000,0.400000,410,480,590,630,750,970,12000,12000,12000,12000,12000,169,5,410,889.8730988165497,50.369299999601935,12144.104099999822,39031.81065088757
